INFO:root:{'sample_nr': 1, 'timestamp': 11121488951885, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.606914520263672, 'raw_pressure': 101356.375, 'raw_humidity': 38.21355056762695, 'raw_gas': 8976.0390625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.606914520263672, 'humidity': 51.81600570678711, 'comp_gas_value': 4.65337610244751, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 2, 'timestamp': 11124573720405, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.647907257080078, 'raw_pressure': 101354.7265625, 'raw_humidity': 38.194915771484375, 'raw_gas': 8400.794921875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.585817337036133, 'humidity': 51.885623931884766, 'comp_gas_value': 4.644455909729004, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 3, 'timestamp': 11127658823926, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.706249237060547, 'raw_pressure': 101355.46875, 'raw_humidity': 38.18379592895508, 'raw_gas': 8441.3681640625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.644168853759766, 'humidity': 51.742576599121094, 'comp_gas_value': 4.639013767242432, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 4, 'timestamp': 11130743430614, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.747873306274414, 'raw_pressure': 101355.3046875, 'raw_humidity': 38.125221252441406, 'raw_gas': 8502.96875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.68577766418457, 'humidity': 51.60404968261719, 'comp_gas_value': 4.636277198791504, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 5, 'timestamp': 11133827629954, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.77972412109375, 'raw_pressure': 101354.5546875, 'raw_humidity': 38.111366271972656, 'raw_gas': 8516.78125, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.71761703491211, 'humidity': 51.56260299682617, 'comp_gas_value': 4.6346540451049805, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 6, 'timestamp': 11136910941163, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.80368995666504, 'raw_pressure': 101355.7890625, 'raw_humidity': 38.07383728027344, 'raw_gas': 8509.869140625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.74155616760254, 'humidity': 51.51327896118164, 'comp_gas_value': 4.633457660675049, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 7, 'timestamp': 11139994703281, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.826078414916992, 'raw_pressure': 101357.6171875, 'raw_humidity': 38.064720153808594, 'raw_gas': 8551.505859375, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.763957977294922, 'humidity': 51.50536346435547, 'comp_gas_value': 4.633334159851074, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 8, 'timestamp': 11143079408881, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.846261978149414, 'raw_pressure': 101358.71875, 'raw_humidity': 38.04966354370117, 'raw_gas': 8551.505859375, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.784170150756836, 'humidity': 51.49346160888672, 'comp_gas_value': 4.633289813995361, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 9, 'timestamp': 11146164137653, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.859506607055664, 'raw_pressure': 101356.6171875, 'raw_humidity': 38.03388977050781, 'raw_gas': 8579.490234375, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.797414779663086, 'humidity': 51.49596405029297, 'comp_gas_value': 4.633735656738281, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 10, 'timestamp': 11149248325205, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.873382568359375, 'raw_pressure': 101356.1640625, 'raw_humidity': 38.023895263671875, 'raw_gas': 8621.8125, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.811275482177734, 'humidity': 51.49931335449219, 'comp_gas_value': 4.634746074676514, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 11, 'timestamp': 11152331716751, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.885364532470703, 'raw_pressure': 101356.2578125, 'raw_humidity': 37.97943878173828, 'raw_gas': 8607.6591796875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.82323455810547, 'humidity': 51.45686721801758, 'comp_gas_value': 4.635244369506836, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 12, 'timestamp': 11155415610357, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.899869918823242, 'raw_pressure': 101357.109375, 'raw_humidity': 37.975223541259766, 'raw_gas': 8664.5546875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.837753295898438, 'humidity': 51.45833969116211, 'comp_gas_value': 4.636516094207764, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
